Project Name:-,MakeMYTrip,,,,,,,,,,,,,
Module Name:-,Where2Go,,,,,,,,,,,,,
Created By:-,Shivam Bhadane,,,,,,,,,,,,,
Created On:-,27.05.2025,,,,,,,,,,,,,
Reviewed By:-,Mr.Sandesh,,,,,,,,,,,,,
Reviwed On:-,Pending,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test Scenario ID,Test Scenario Description,Test Case ID,Test Case Description,Pre-Conditions,Test Steps,Test Data,Post-Condition,Expected Result,Actual Result,Test Status,Executed By,Executed Date,Comments(if any),
WG_LG_01,Verfiy Makemytrip modified Logo,TC_LG_01,Verify whether given or updated logo is as per UI requirement,"1) Internet working properly 
2) URL (https://www.makemytrip.com/)
3) Valid browser available ",1)Enter URL in the browser 2) Be on the homepage 3) Observe the Updated Logo,URL - https://www.makemytrip.com/,User should be able to see the updated logo ,New logo should be updated on the homepage,New logo is updated and user is able to see it without any miscomplications in the UI\UX behaviour of the page ,Pass,Shivam Bhadane,26/5/25,User should be able to see the updated logo even after refreshing the page and the logo integrity must be maintained and also observations on the UX elements on the page should be monitored while refereshing or loading the homepage.,
,,TC_LG_02,Verify whether the Logo Placement and the dimensions are correct and aligned with the requirements,"1) Internet working properly 
2) URL (https://www.makemytrip.com/)
3) Valid browser available ",1) Enter URL in the browser 2) Be on the homepage 3) Click on the logo 4) Observe the result,URL - https://www.makemytrip.com/,The logo must maintain its integrity as mentioned in the requirements,The logo is displayed as the requirments,The logo is displayed in correct dimensions as redirected,Pass,Shivam Bhadane,26/5/25,No comment,
,,TC_LG_03,Verify the Logo has been integrated with the vaild website link ,"1) Internet working properly 
2) URL (https://www.makemytrip.com/)
3) Valid browser available ",1)Enter URL in the browser 2) Be on the homepage 3) Click on the logo 4) Observe the result,URL - https://www.makemytrip.com/,Homepage should refreshed when the user is clicking on the logo ,User is redirected on the homepage itself when logo is clicked ,Homepage is displayed ,Pass,Shivam Bhadane,26/5/25,No comment,
,,,,,,,,,,,,,,
TS_WG_02,Verify ‘Where2Go’linksystem,TC_W2G_01,Verify 'Where2Go' link is visible and clickable,"1) Internet working properly 
2) URL (https://www.makemytrip.com/)
3) Valid browser available ","1) Enter URL in the browser 2) Load homepage
3) Locate 'Where2Go' link 4) Observe the result",URL - https://www.makemytrip.com/,Link is identified,Link should be visible and clickable,As expected,Pass,Shivam Bhadane,26/5/25,No comment,
,,,,,,,,,,,,,,
,,TC_W2G_02,Verify clicking on 'Where2Go' opens a new tab,"1) Internet working properly 
2) URL (https://www.makemytrip.com/)
3) Valid browser available ","1) Enter URL in the browser 2) Load homepage
3) Locate 'Where2Go' link 4) Observe the result",URL - https://www.makemytrip.com/,New tab is opened,New tab/window should open,User is directed onto the new tab,Pass,Shivam Bhadane,26/5/25,No comment,
,,,,,,,,,,,,,,
,,TC_W2G_03,Verify the redirected URL is correct,"1) Internet working properly 
2) URL (https://www.makemytrip.com/tripideas/)
3) Valid browser available ","1) Enter URL in the browser 2) Load homepage
3) Click 'Where2Go' link 4) Switch to new tab 
5) Check URL",URL - https://www.makemytrip.com/,Expected URL: https://www.makemytrip.com/where2go,URL loaded,URL loaded and verified ,Pass,Shivam Bhadane,26/5/25,No comment,
,,,,,,,,,,,,,,
,,TC_W2G_04,Verify that page uses proper title and accessible image attributes,"1) Internet working properly 
2) URL (https://www.makemytrip.com/tripideas/)
3) Valid browser available 
4) Where2Go page is opened","1) Right-click the page and choose inspect option 
2) Locate the ""Title"" tag
3) Check for images and their attributes",URL - https://www.makemytrip.com/tripideas/,Title attributes and Image attritubutes displayed ,Meaningful attributes are retrived ,Meaningful attributes are retrived and cross-verified,Pass,Shivam Bhadane,26/5/25,No comment,
,,,,,,,,,,,,,,
,,TC_W2G_05 ,Verify the behaviour of UX elements on the page,"1) Internet working properly 
2) URL (https://www.makemytrip.com/tripideas/)
3) Valid browser available 
4) Where2Go page is opened","1) Enter URL in the browser 2) Load homepage
3) Click 'Where2Go' link 4) Switch to new tab 
5) Check URL",URL - https://www.makemytrip.com/tripideas/,The UX elements on the page should be loaded successfully without any lags in the response time and the integrity should be maintained and there should be no missing elements ,Page loaded successfully ,Page loaded successfully without any lag and bugs ,Pass,Shivam Bhadane,26/5/25,No comment,
,,,,,,,,,,,,,,
,,TC_W2G_06,Verify the behaviour of Homepage while the user is logged in ,"1) Internet working properly 
2) URL (https://www.makemytrip.com/tripideas/)
3) Valid browser available 
4) Email Id - Shivam@12223.com 
5) Password - 1545454","1) Enter URL in the browser 2) Load homepage
3) Click On Login Button 4) Enter the credentials 
5) Check behaviour",URL - https://www.makemytrip.com/tripideas/,The user should be logged in succesfully ,User logged in successfully and redirected,User is able to acess the page while being logged in ,Pass,Shivam Bhadane,26/5/25,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Test Scenario ID,Test Scenario Description,Test Case ID,Test Case Description,Pre-Conditions,Test Steps,Test Data,Post-Condition,Expected Result,Actual Result,Test Status,Executed By,Executed Date,Comments (if any)
,TS_W2G_001,Verify visibility and clickability of the ‘Where2Go’ link,TC_W2G_001,Verify 'Where2Go' link is visible and clickable,User is on homepage,1. Load homepage2. Locate 'Where2Go' link,N/A,Link identified,Link should be visible and clickable,As expected,Pass/Fail,[Tester],[Date],—
,TS_W2G_002,Verify that clicking the ‘Where2Go’ link opens a new tab,TC_W2G_002,Verify clicking on 'Where2Go' opens a new tab,Link is present,1. Click on 'Where2Go' link,N/A,New tab is opened,New tab/window should open,As expected,Pass/Fail,[Tester],[Date],—
,TS_W2G_003,Verify the redirected URL is correct,TC_W2G_003,Verify the URL of the new tab is correct,New tab is open,1. Click 'Where2Go' link2. Switch to new tab3. Check URL,Expected URL: https://www.makemytrip.com/where2go,URL loaded,URL matches the expected URL,As expected,Pass/Fail,[Tester],[Date],—
,TS_W2G_004,Verify browser tab title on new page,TC_W2G_004,Verify title of the new tab is correct,New tab is loaded,1. Open 'Where2Go'2. Switch to new tab3. Read browser title,Expected title: “Where2Go by Makemytrip | Explore Destination | Plan your trip”,Title validated,Tab title should match exactly,As expected,Pass/Fail,[Tester],[Date],Ensure proper formatting
,TS_W2G_005,Verify that the redirected page loads correctly,TC_W2G_005,Verify page content loads successfully,New tab is open,1. Click 'Where2Go'2. Wait for page load3. Verify content,N/A,Content is displayed,Page content should load without error,As expected,Pass/Fail,[Tester],[Date],Check browser console for errors
